Mon Idole;
1;[intro]
9;Le matin, je me lève avec envie
11;D'écouter ses chansons qui me font rire
13;Ses paroles loufoques, son style unique
15;Philippe Katerine, tu es magique
17;J'adore Philippe Katerine, c'est vrai
19;Mais pas tout le temps, je veux m'évader
21;Sa folie me fait rire, c'est certain
23;Mais parfois, j'ai besoin d'autres refrains
25;[ … ]
29;Dans ma voiture, j'allume la radio
31;J'entends sa voix, j'en ris à nouveau
33;Mais parfois, je veux chanter autre chose
35;Me laisser porter par d'autres proses
37;J'adore Philippe Katerine, c'est vrai
39;Mais pas tout le temps, je veux m'évader
41;Sa folie me fait rire, c'est certain
43;Mais parfois, j'ai besoin d'autres refrains
45;[ solo ]
53;Philippe, tu es unique, c'est certain
55;Mais parfois, j'ai envie de diversité
57;D'autres artistes, d'autres mélodies
59;Pour me surprendre et me faire vibrer
61;[outro]
63;
