Juste y croire;
1;[intro]
9;Once upon a time, a dreamer full of grace
11;He aimed to conquer the world, set his own pace
13;But others laughed, said it was all in vain
15;"Yet he said, ""I’ll show them, I’ll break the chain"""
17;In life, never stop, always try
19;No point in lamenting, reach for the sky
21;Just believe, keep hope, keep moving on
23;For anything can happen if you stay strong
25;[…]
29;He picked up his guitar, wrote melodies so bright
31;Without a thought if they’d like it, he took flight
33;He sang in the streets, on boulevards grand
35;And little by little, his talent took a stand
37;In life, never stop, always try
39;No point in lamenting, reach for the sky
41;Just believe, keep hope, keep moving on
43;For anything can happen if you stay strong
45;[solo]
53;He picked up his guitar, wrote melodies so bright
55;Without a thought if they’d like it, he took flight
57;He sang in the streets, on boulevards grand
59;And little by little, his talent took a stand
61;[outro]
63;
