Question d'intention;
1;[intro]
9;J'ai pris une décision, dans ma chanson,
11;De tout dire en toute occasion,
13;Ce que je pense, avec une passion,
15;C'est une question d'intention, une mission !
17;C'est une question d'intention,
19;De dire les choses avec dérision,
21;On va tous danser en folie,
23;Sur cette mélodie funky, c'est lui !
25;[ … ]
29;J'écris des mots que personne n'oublie,
31;Des blagues légères pour faire rire la vie,
33;Je suis le chanteur comique,
35;Qui fait danser et rend les gens hystériques !
37;C'est une question d'intention,
39;De dire les choses avec dérision,
41;On va tous danser en folie,
43;Sur cette mélodie funky, c'est lui !
45;[ solo ]
53;C'est une question d'intention,
55;De dire les choses avec dérision,
57;On va tous danser en folie,
59;Sur cette mélodie funky, c'est lui !
61;[outro]
63;
