Rire, c'est mieux;
1;[intro]
9;On vit dans une société trop sensible
11;Où chacun se sent attaqué, invincible
13;Mais moi je préfère prendre les choses à la légère
15;Résister à l'offense, c'est ma manière
17;Dans ce monde où tout le monde s'offense
19;Je choisis la voie qui me dépense
21;Pas besoin de chercher les fausses offenses
23;Je préfère rire avec innocence
25;[ … ]
29;Quand on me critique, j'en fais une occasion
31;De rire et d'apporter un peu de dérision
33;Car être offensé, c'est se priver de joie
35;Alors autant vivre dans un éclat de rires
37;Dans ce monde où tout le monde s'offense
39;Je choisis la voie qui me dépense
41;Pas besoin de chercher les fausses offenses
43;Je préfère rire avec innocence
45;[ solo ]
53;Alors levons les bras et rions tous ensemble
55;Car l'offense n'a pas sa place dans notre exemple
57;Vivons dans la légèreté et l'amusement
59;C'est ça la vie, c'est ça mon mouvement
61;[outro]
63;
