Ma petite cuisine;
1;[intro]
9;I woke up this morning with a heavy heart,
11;But as soon as I grabbed my spatula, I found a fresh start.
13;I pulled out my pans, my pots with a clatter,
15;In my kitchen, I found my matter.
17;When my smile is feeling low,
19;I don my hat and take it on the go.
21;Cooking’s good for the soul, you see,
23;It lifts my spirits and sets my worries free.
25;[ … ]
29;I decided to whip up a grand feast,
31;A mix of flavors, a divine release.
33;Paprika in my pumpkin soup so bright,
35;And chili in my dauphinois delight.
37;When my smile is feeling low,
39;I don my hat and take it on the go.
41;Cooking’s good for the soul, you see,
43;It lifts my spirits and sets my worries free.
45;[ solo ]
53;When my smile is feeling low,
55;I don my hat and take it on the go.
57;Cooking’s good for the soul, you see,
59;It lifts my spirits and sets my worries free.
61;[outro]
63;
