Le mental gagnant;
1;[intro]
9;Grab the basketball, soccer, or tennis,
11;Mental strength’s the trick to being the best,
13;When pressure’s high, you must resist,
15;Stay focused and don’t shy away from the test.
17;In sports, don’t let it slip away,
19;Mental strength’s key, it’s here to stay,
21;With conviction and determination in sight,
23;We can achieve anything, no matter the fight.
25;[ … ]
29;When you play, be like a lion,
31;Face your fears, leave them behind,
33;Visualize your win, it's close at hand,
35;With courage and boldness, you'll command the land.
37;Mental strength is the winning strategy,
39;In our minds, we create our own reality,
41;No matter the challenge or the strife,
43;With mental power, we conquer life.
45;[ solo ]
53;In sports, don’t let it slip away,
55;Mental strength’s key, it’s here to stay,
57;With conviction and determination in sight,
59;We can achieve anything, no matter the fight.
61;[outro]
63;
