Ecrire, c'est mon plaisir;
1;intro]
9;I've got my notebooks, I've got my pen,
11;I’m ready to write, like a snail in its den,
13;Jotting down words, and whimsical thoughts,
15;On these blank pages, my pen’s joyful knots.
17;Write, write, it’s my delight,
19;On my notebooks, I let it all take flight,
21;With humorous words, I’ll share and play,
23;With you, I want to create every day.
25;[ … ]
29;In my notebooks, I've got secret dreams,
31;Wordplay and tales, and silly schemes,
33;I shape the language, play with each line,
35;To make you laugh, that’s my sweet design.
37;Write, write, it’s my delight,
39;On my notebooks, I let it all take flight,
41;With humorous words, I’ll share and play,
43;With you, I want to create every day.
45;[ solo ]
53;Write, write, it’s my delight,
55;On my notebooks, I let it all take flight,
57;With humorous words, I’ll share and play,
59;With you, I want to create every day.
61;[outro]
63;
