Rock Star;
1;[intro]
9;À la ludothèque, j'ai trouvé mon bonheur
11;Un tambour en plastique, c'était mon premier amour
13;Je jouais sans arrêt, avec fougue et ardeur
15;Tout mon quartier connaissait mon talent au tambour
17;J'ai pris un tambour en plastique, à la ludothèque
19;Et j'ai tapé, tapé, tapé, toute la journée
21;Dans mon cœur de bambin, j'étais une rock star en fête
23;Drums en caoutchouc, mon rythme a fait sensation
25;[ … ]
29;Les voisins s'impatientaient, mes parents me grondaient
31;Mais le tambour en plastique m'ensorcelait
33;Je m'imaginais sur scène, le public en délire
35;Rock’n’roll en pyjama, j'étais un mini Mick Jagger
37;J'ai pris un tambour en plastique, à la ludothèque
39;Et j'ai tapé, tapé, tapé, toute la journée
41;Dans mon cœur de bambin, j'étais une rock star en fête
43;Drums en caoutchouc, mon rythme a fait sensation
45;[ solo ]
53;J'ai pris un tambour en plastique, à la ludothèque
55;Et j'ai tapé, tapé, tapé, toute la journée
57;Dans mon cœur de bambin, j'étais une rock star en fête
59;Drums en caoutchouc, mon rythme a fait sensation
61;[outro]
63;
