La collection déjantée;
1;[intro]
9;In my room, it's a real mess,
11;Trinkets everywhere, it's a total distress.
13;Plastic ducks up to the ceiling high,
15;Stuffed cacti dancing, oh my, oh my.
17;I gather all that I adore,
19;A collection that’s crazy and more.
21;Quirky objects with no real worth,
23;But I’m proud, it’s my sense of mirth.
25;[ … ]
29;Cowboy hats and maracas too,
31;Seashells from the Bahamas' view.
33;Old gadgets that no longer buzz,
35;But I keep them close, they’re my special fuss.
37;I gather all that I adore,
39;A collection that’s crazy and more.
41;Quirky objects with no real worth,
43;But I’m proud, it’s my sense of mirth.
45;[ solo ]
53;So come, come into my wild domain,
55;Where every object brings a smile, not pain.
57;Life’s too short not to have fun,
59;With my collection, joy’s never done.
61;[outro]
63;
