Le bazar dans ma tête;
1;[intro]
9;Le matin, je me lève en retard
11;Cherchant mes chaussettes dans le placard
13;Mes clés se cachent toujours quelque part
15;Oh, c'est sûr, je suis un vrai retardataire
17;Dans ma vie, tout est mélangé
19;Le désordre est ma fierté
21;Je suis le roi de la pagaille
23;Le bazar règne en bataille
25;[ … ]
29;À table, je mets du sucre dans mon café
31;Sans même me rappeler si j'ai mangé
33;Les factures s'empilent sur mon bureau
35;Oh là là, quelle catastrophe, c'est trop !
37;Certains disent que l'ordre apporte la paix
39;Mais moi, je préfère laisser le chaos s'amuser
41;Car dans ce fouillis, je trouve ma créativité
43;Le bazar est un art, voilà ma réalité !
45;[ solo ]
53;Dans ma vie, tout est mélangé
55;Le désordre est ma fierté
57;Je suis le roi de la pagaille
59;Le bazar règne en bataille
61;[outro]
63;
