Le monde des petites ironies;
1;[intro]
9;Dans ma tête, les pensées s'envolent
11;Chacune plus farfelue, plus folle
13;Je jongle avec les mots, je ris sans cesse
15;C'est ma façon de vivre, ma tendre ivresse
17;Dans le monde des petites ironies
19;On joue avec les paradoxes de la vie
21;On danse sur les pieds de la réalité
23;Avec légèreté, oh quelle hilarité!
25;[ … ]
29;Je fais des blagues, des calembours en cascade
31;Le monde est mon terrain de parade
33;"On me dit, ""Tu es fou, tu exagères"""
35;Mais je fais sourire, c'est le plus sincère
37;Voyageons dans le royaume des sarcasmes
39;Où les sourires avaient du magnétisme
41;Les situations absurdes, les clins d'œil malicieux
43;On s'amuse de tout, c'est notre jeu radieux
45;[ solo ]
53;Dans le monde des petites ironies
55;On joue avec les paradoxes de la vie
57;On danse sur les pieds de la réalité
59;Avec légèreté, oh quelle hilarité!
61;[outro]
63;
