Beauté moche;
1;[intro]
9;I discovered something quite surreal,
11;Ugly things that turn into a big deal.
13;I must say, it’s truly surprising,
15;How the ugly can be so mesmerizing.
17;The ugly becomes cool, the plain is the trend,
19;Imperfections are now the thing to commend.
21;In this crazy world, we find bold grace,
23;That’s what makes life a fun-filled place.
25;[ … ]
29;I took an old sock with a hole,
31;And turned it into a trendy goal.
33;Everyone asks where I got this gem,
35;It’s from my closet, where all things are welcome!
37;The ugly becomes cool, the plain is the trend,
39;Imperfections are now the thing to commend.
41;In this crazy world, we find bold grace,
43;That’s what makes life a fun-filled place.
45;[ solo ]
53;So sing with me this funky tune,
55;Forget the rules, let’s all be a little kooky soon.
57;The ugly becomes cool, yeah, it’s true,
59;In this quirky song, we find beauty too.
61;[outro]
63;
