Un plaisir enfantin;
1;[intro]
9;I tried the piano, but it sounds so strange,
11;The guitar’s not better, it hurts my fingers, quite deranged.
13;Drums? No thanks, they take up too much space,
15;Musical instruments just aren’t my taste.
17;No instrument captures my interest fully,
19;I’d rather sing, let the wind carry me truly.
21;No need for notes, I make my voice ring,
23;And I promise you, it sounds pretty good, I sing!
25;[ … ]
29;I tried the flute, but I made a mess,
31;The saxophone was worse, it scared the whole neighborhood, I confess.
33;The trumpet was a disaster, it frightens the animals too,
35;Musical instruments, I leave them to others, it’s more fun to do.
37;No instrument captures my interest fully,
39;I’d rather sing, let the wind carry me truly.
41;No need for notes, I make my voice ring,
43;And I promise you, it sounds pretty good, I sing!
45;[ solo ]
53;Some might say I lack the skill,
55;That I should practice, refine, and fulfill.
57;But I reply with a cheeky grin,
59;Music is a joy that’s childlike within.
61;[outro]
63;
