Populaire et rigolo;
1;[intro]
9;Dans ma vie quotidienne, je suis plutôt banal,
11;Mais avec ma musique, je brille comme un cristal,
13;J'enchaîne les paroles drôles, les mélodies entrainantes,
15;Le public ne peut s'empêcher de sourire et de danser.
17;Je veux être populaire, le roi de la scène,
19;Faire danser les foules et créer un engouement,
21;Avec mes chansons rigolotes, je vais les amener loin,
23;Sous les projecteurs, je suis le numéro un sur le podium.
25;[ … ]
29;J'écris mes paroles avec humour et malice,
31;Je joue avec les mots, les rimes et les ficelles,
33;Sur scène, je fais le pitre, je m'amuse sans malice,
35;Et le public me suit, embarqué dans ma folie belle.
37;Je suis le clown de la chanson, le farceur de la scène,
39;Tout le monde a besoin de ma bonne humeur, de mon venin,
41;Même dans les jours les plus sombres, je suis là pour illuminer,
43;Avec mes chansons rigolotes, je vais tous vous charmer.
45;[ solo ]
53;Je veux être populaire, le roi de la scène,
55;Faire danser les foules et créer un engouement,
57;Avec mes chansons rigolotes, je vais les amener loin,
59;Sous les projecteurs, je suis le numéro un sur le podium.
61;[outro]
63;
