Cigarette;
1;[intro]
9;I smoked my last pack in just thirty minutes,
11;With every puff, I forget all my troubles in a spin,
13;The smoke rises, it feels so sublime,
15;But now I’m craving, it’s abstinence time.
17;I smoked my last pack, I’m in a state,
19;But I’m determined, I’ll find a way to quit,
21;Cigarette, cigarette, you’ve cast your spell,
23;But I’m resolved, this time you can go to hell.
25;[ … ]
29;I tried the patches, nicotine gum too,
31;But nothing works, I still crave you,
33;I count the days, the hours, each fleeting minute,
35;The cigarette’s absence, my life’s in a limit.
37;I smoked my last pack, I’m in a state,
39;But I’m determined, I’ll find a way to quit,
41;Cigarette, cigarette, you’ve cast your spell,
43;But I’m resolved, this time you can go to hell.
45;[ solo ]
53;Cigarette, it's over, I turn the page,
55;I’ll breathe fresh air, free from your cage,
57;And if I fail, I'll try again without despair,
59;For my will is strong, I want to live without smoke, with care.
61;[outro]
63;
