Joe Dassin;
1;[intro]
9;Joe Dassin, c'est mon idole, je l'admire de trop
11;Quand j'écoute sa musique, je me sens comme un oiseau
13;Ses chansons légendaires, elles m'envoient dans les nuages
15;Avec sa voix charmante, il m'emporte loin du brouhaha
17;J'aime bien Joe Dassin, il me fait danser
19;Ses mélodies joyeuses, je ne peux pas m'en passer
21;J'aime bien Joe Dassin, son talent est immense
23;Il remplissait nos cœurs de bonheur et d'espérance
25;[ … ]
29;Ses mots font rire et parfois même pleurer
31;Joe Dassin, le roi de la variété
33;Nos soirées se transforment en fête à chaque note
35;Il nous fait voyager dans des contrées étranges et fabuleuses
37;J'aime bien Joe Dassin, il me fait danser
39;Ses mélodies joyeuses, je ne peux pas m'en passer
41;J'aime bien Joe Dassin, son talent est immense
43;Il remplissait nos cœurs de bonheur et d'espérance
45;[ solo ]
53;J'aime bien Joe Dassin, il me fait danser
55;Ses mélodies joyeuses, je ne peux pas m'en passer
57;J'aime bien Joe Dassin, son talent est immense
59;Il remplissait nos cœurs de bonheur et d'espérance
61;[outro]
63;
