Double sens;
1;[intro]
9;Je marche sur cette ligne fine, en équilibre
11;Un pas en avant, un pas en arrière, sans délivre
13;Je risquerais ma vie à travers mes jeux de mots
15;J'embrouille les cœurs perdus, je suis leur héros
17;Dans ma vie, tout est en double-sens
19;J'aime jouer avec les mots et les sentiments
21;J'offre des sourires, des mystères insolents
23;Double, triple, je suis le roi de l'ambiguïté
25;[ … ]
29;Je peux te complimenter tout en te taquinant
31;Un sourire malicieux, je suis facétieux, c'est charmant
33;Je cache mes intentions derrière mes rires
35;Mon humour déconcertant, c'est mon empire
37;Dans mes chansons, y'a toujours un twist
39;Je t'amuse, te perds et te laisse dans l'intrigue
41;Les rires et les larmes se mêlent sous mes vers
43;Double, triple, je fais danser l'univers
45;[ solo ]
53;Alors viens avec moi dans ce monde en ébullition
55;Où les mots sont des acrobates de l'imagination
57;Laisse-toi emporter par ma plume légère et désinvolte
59;Dans ce bal d'ambiguïté, je suis le magicien qui récolte
61;[outro]
63;
