L'Art pour tous;
1;[intro]
9;Je suis une fan de Picasso,
11;Ses tableaux, c'est pas des mots!
13;Il dessine comme personne,
15;Avec des ronds et des zigzags qui sonnent.
17;J'aime l'art accessible, ça me rend si sensible,
19;Les muse?es, les expos, c'est pas ringard c'est pas faux!
21;Voir une œuvre en pyjama, voila? ma?tinale aura,
23;L'art, il n'a pas d'âge, il se vit tout simplement.
25;[ … ]
29;Quand je peins, c'est un vrai bordel,
31;Des couleurs partout, c'est l'appel.
33;Mon chat, mon chien, ils sont mes critiques,
35;Ils me miaulent, ils aboient, c'est unique!
37;J'aime l'art accessible, ça me rend si sensible,
39;Les muse?es, les expos, c'est pas ringard c'est pas faux!
41;Voir une œuvre en pyjama, voila? ma?tinale aura,
43;L'art, il n'a pas d'âge, il se vit tout simplement.
45;[ solo ]
53;J'aime l'art accessible, ça me rend si sensible,
55;Les muse?es, les expos, c'est pas ringard c'est pas faux!
57;Voir une œuvre en pyjama, voila? ma?tinale aura,
59;L'art, il n'a pas d'âge, il se vit tout simplement.
61;[outro]
63;
