Objetmania;
1;[intro]
9;Dans ma cuisine, c'est la folie
11;Des gadgets partout, à l'infini
13;Un grille-pain qui danse le mambo
15;Et une poêle qui fait du breakdance, oh là là!
17;J'aime les objets, c'est ma passion
19;Des souvenirs dans chaque maison
21;Des couteaux, des fourchettes, des tasses, des cuillères
23;C'est dans les objets que je trouve mon bonheur
25;[ … ]
29;Dans ma chambre, c'est un grand cirque
31;Des draps volants et des peluches qui parlent
33;Un réveil qui chante du rock'n'roll
35;Et un tapis qui fait des claquettes, c'est trop cool!
37;J'aime les objets, ils ont du charme
39;Dans mon salon, c'est un véritable army
41;Des coussins qui chantent, des lampes qui dansent
43;La déco chez moi est une vraie trance
45;[ solo ]
53;J'aime les objets, c'est ma passion
55;Des souvenirs dans chaque maison
57;Des couteaux, des fourchettes, des tasses, des cuillères
59;C'est dans les objets que je trouve mon bonheur
61;[outro]
63;
