Les gens;
1;[intro]
9;Dans mon petit coin tranquille, 
11;Je me balade et je souris,
13;Les gens autour, ils me fascinent,
15;Leur comportement, c'est sûr, je l'analyse.
17;J'aime observer les gens, 
19;Leurs mimiques, leurs manies,
21;Dans cette douce ambiance,
23;Je me sens comme chez moi, c'est magique!
25;[ … ]
29;Il y a l'homme pressé, qui court dans tous les sens,
31;La femme coquette, qui ne sort jamais sans maquillage,
33;Le vieux monsieur ronchon, qui clame son impuissance,
35;Et le bébé rigolo, qui fait des grimaces à tout âge.
37;J'aime observer les gens,
39;Leurs gestes, leurs faciès,
41;Dans ce monde si étrange,
43;Je trouve toujours de l'inspiration pour ma musique, c'est fou!
45;[ solo ]
53;J'aime observer les gens,
55;Leurs mimiques, leurs manies,
57;Dans cette douce ambiance,
59;Je me sens comme chez moi, c'est magique!
61;[outro]
63;
