Chez Casa [At Casa];
1;[intro]
9;In my life, there's something that annoys me
11;People who go to Casa, it makes me feel good
13;They buy furniture that's not original
15;Me, I prefer to go and get it elsewhere, do you get it?
17;I don't like people who go to Casa
19;They lack taste, it's not even Casa
21;I want a unique decor, that really suits me
23;Not an exact copy, that's not my vibe, you understand?
25;[ … ]
29;At Casa, it's the den of kitsch
31;The same objects everywhere, it makes me itch
33;I need originality in my home
35;Vintage and colorful pieces, it makes me happy
37;I don't like people who go to Casa
39;They lack taste, it's not even Casa
41;I want a unique decor, that really suits me
43;Not an exact copy, that's not my vibe, you understand?
45;[ solo ]
53;I don't like people who go to Casa
55;They lack taste, it's not even Casa
57;I want a unique decor, that really looks like me
59;Not an exact copy, that's not my vibe, you understand?
61;[outro]
63;
