Le trac;
1;[intro]
9;When the spotlights turn on,
11;Stress rises, legs feel withdrawn,
13;I feel like I’m floating in the air,
15;But hey, that’s part of the affair.
17;Oh, I always get stage fright,
19;When I hit the stage, it’s a fright.
21;Butterflies in my stomach, it's a fight,
23;But I hang on, I ignite!
25;[ … ]
29;My hands tremble on my guitar,
31;My heart races, it’s bizarre.
33;The lyrics flash through my mind,
35;"But I tell myself, ""I must be kind."""
37;The stage fright, it itches,
39;I face it, I make switches.
41;The audience is here, they stare,
43;So I give it my all, I dare!
45;[ solo ]
53;Oh, I always get stage fright,
55;When I hit the stage, it’s a fright.
57;Butterflies in my stomach, it's a fight,
59;But I hang on, I ignite!
61;[outro]
63;
