Ma mémoire visuelle;
1;[intro]
9;In my head, it’s running full throttle,
11;I’ve got a memory that’s like a model.
13;I remember everything, it’s quite a feat,
15;Even trivial details, it’s hard to beat.
17;I have a visual memory, it’s truly great,
19;I recall every detail, it’s like fate.
21;Faces, places, and moments so dear,
23;Nothing escapes me, my memory's clear.
25;[ … ]
29;I see someone on the street,
31;I recall having met, it's a treat.
33;"I say, ""We met yesterday at the café,"""
35;They look puzzled, I’ve led them astray.
37;I have a visual memory, it’s truly great,
39;I recall every detail, it’s like fate.
41;Faces, places, and moments so dear,
43;Nothing escapes me, my memory's clear.
45;[ solo ]
53;So if you want to remember all that’s fine,
55;Open your eyes wide, like a bird in flight.
57;Visual memory is a treasure so bright,
59;And together, we’ll remember it day and night.
61;[outro]
63;
