Juste pour rire [Just for Laughs[;
1;[intro]
9;I am an unpretentious melody
11;No need for great performances, it's my mission
13;I admire other singers
15;But me, I just prefer to make you smile
17;I never wanted to be a virtuoso
19;For me, simplicity is the thing that is required
21;I sing my songs with a smile on my lips
23;Just to make people laugh, to make the world lighter
25;[ … ]
29;My words are light as a feather
31;Laughter is the magic potion, it's my cold
33;I don't need high-flying musical acrobatics
35;Just a little humor for everyone to escape
37;I never wanted to be a virtuoso
39;For me, simplicity is the thing that is required
41;I sing my songs with a smile on my lips
43;Just to make people laugh, to make the world lighter
45;[ solo ]
53;So come dance, sing and laugh
55;Let yourself be carried away by my lightness
57;In this world sometimes too serious
59;I'm here to make you laugh, that's my wish
61;[outro]
63;
