J'aime pas les clowns;
1;[intro]
9;I hate clowns, they give me chills,
11;Their forced smiles make me feel ill.
13;With their plastic noses and loud, gaudy makeup,
15;I’d much prefer a panda in my yard to wake up.
17;I don’t like clowns, they’re not my cup of tea,
19;Their silly jokes always make me grumble, you see.
21;Let them stay in their circus, I don’t want to cheer,
23;Clowns aren’t for me, I’d rather have pastries near.
25;[ … ]
29;They arrive in groups, painted in insane style,
31;Their giant shoes make me laugh in denial.
33;They try to amuse with endless juggling tricks,
35;But I find it all a bit too slick.
37;A red nose and flowers springing from their hand,
39;To some it’s fun, but to me, it’s a nightmare unplanned.
41;Maybe I’m odd, but I can’t reconcile,
43;"Clowns aren’t my thing; I prefer wooden puppets’ smile."
45;[ solo ]
53;I don’t like clowns, they’re not my cup of tea,
55;Their silly jokes always make me grumble, you see.
57;Let them stay in their circus, I don’t want to cheer,
59;Clowns aren’t for me, I’d rather have pastries near.
61;[outro]
63;
