Une pop star excentrique;
1;[intro]
9;Je suis une pop star excentrique
11;Mon style est unique et élastique
13;Mais il y a une chose qui me fait frémir
15;Quand les coutures sont visibles, ça me fait souffrir
17;Cachez ces coutures, je vous en prie
19;Je ne veux pas qu'on voie mes petits défis
21;Que tout soit parfait, du début à la fin
23;Dans mon monde, pas de coutures, c'est certain
25;[ … ]
29;Je porte des robes de haute couture
31;Mais si les coutures sont visibles, quelle torture
33;Je veux que tout soit fluide et sans défaut
35;Que les gens ne voient que ma beauté en haut
37;Cachez ces coutures, je vous en prie
39;Je ne veux pas qu'on voie mes petits défis
41;Que tout soit parfait, du début à la fin
43;Dans mon monde, pas de coutures, c'est certain
45;[ solo ]
53;Je suis une pop star excentrique
55;Avec des rêves et des coutures un peu magiques
57;Mais peu importe, je vais briller avec éclat
59;Et danser sur la scène sans me soucier de ça
61;[outro]
63;
