Scénarios farfelus;
1;[intro]
9;I woke up one morning, all confused,
11;I searched for my alarm, but it was lost and abused.
13;I had replaced it with a trumpet blast,
15;To make sure I’d wake up with a festive cast.
17;In my life, everything’s like a movie scene,
19;I only tidy things up in the reel, it seems.
21;I’m the king of wacky scripts and tales,
23;The wildest stories, that's where my virtue prevails.
25;[ … ]
29;One day, I searched my pockets for my keys,
31;They vanished like a scene from a comedy spree.
33;But I found them stuck in the door,
35;I’m not so skilled, that's for sure.
37;In my life, everything’s like a movie scene,
39;I only tidy things up in the reel, it seems.
41;I’m the king of wacky scripts and tales,
43;The wildest stories, that's where my virtue prevails.
45;[ solo ]
53;In my life, everything’s like a movie scene,
55;I only tidy things up in the reel, it seems.
57;I’m the king of wacky scripts and tales,
59;The wildest stories, that's where my virtue prevails.
61;[outro]
63;
