Sans limites;
1;[intro]
9;I want to dance in the rain, sing out loud,
11;I want to have fun, without caring about the crowd.
13;I’m an artist, a dreamer with no rest,
15;I dive in, I laugh, I’m endlessly obsessed.
17;I’m diving in, I’m ready, I’ll try it all,
19;No limits, no regrets, I want to have a ball.
21;Life’s too short to hold back or delay,
23;I want to live it all, explore, without dismay.
25;[ … ]
29;I want to eat burgers for every meal,
31;Go skydiving, even if the ground feels unreal.
33;I laugh at conventions, I’m free in my spree,
35;And if it’s not liked, oh well, I just let it be.
37;No limits, no borders, I want to create,
39;I’m here to disrupt, to test and innovate.
41;The world is my playground, my canvas so wide,
43;I’ll go all the way, no compromise, no hide.
45;[ solo ]
53;I’m diving in, I’m ready, I’ll try it all,
55;No limits, no regrets, I want to have a ball.
57;Life’s too short to hold back or delay,
59;I want to live it all, explore, without dismay.
61;[outro]
63;
