Accro à mon phone;
1;[intro]
9;Dans ma main, c'est la folie
11;Mon téléphone est ma vie
13;Je suis accro, je l'avoue
15;Impossible de m'en passer, c'est fou
17;Je suis accro, accro à mon téléphone
19;Tout le temps, j'en fais une obsession
21;De ma poche à ma main, il est toujours là
23;Je ne peux pas m'empêcher de l'utiliser, voilà!
25;[ … ]
29;Les gens pensent que je suis désorganisé
31;Mais en réalité, je suis connecté
33;Entre les messages et les réseaux sociaux
35;Je suis toujours à jour, je reste dans le flow
37;Je suis accro, accro à mon téléphone
39;Tout le temps, j'en fais une obsession
41;De ma poche à ma main, il est toujours là
43;Je ne peux pas m'empêcher de l'utiliser, voilà!
45;[ solo ]
53;Alors j'assume, je suis addict
55;Mon téléphone, c'est mon élixir
57;Mais bon, on est tous un peu pareil
59;Accro à la technologie, on se console entre veille.
61;[outro]
63;
