Je me laisse convaincre;
1;[intro]
9;J'ai un cœur en guimauve, si tendre et malléable
11;On m'enjôle avec des mots doux, c'est tout à fait délectable
13;Je suis comme de la pâte à modeler entre leurs mains
15;Ils en profitent, me manipulent, ça n'a pas de fin
17;Je me laisse convaincre, oh oui, j'en suis dingue
19;Par tous ces beaux parleurs qui me bercent de mensonges
21;Je me laisse convaincre, sans même me rendre compte
23;Que je deviens l'pigeon qui se fait prendre à tous les coups
25;[ … ]
29;Ils me vendent des rêves, des promesses en cascade
31;Et moi, pauvre naïf, je les engloutis sans barricade
33;Je suis comme la cerise sur le gâteau des manipulateurs
35;Ils s'en régalent, s'en délectent, je suis leur meilleur leurre
37;Je me laisse convaincre, oh oui, j'en suis dingue
39;Par tous ces charlatans qui me baignent dans leurs intrigues
41;Je me laisse convaincre, sans même résister
43;Je suis le pantin qui danse à leur volonté
45;
53;Je me laisse convaincre, oh oui, j'en suis dingue
55;Par tous ces beaux parleurs qui me bercent de mensonges
57;Je me laisse convaincre, sans même me rendre compte
59;Que je deviens l'pigeon qui se fait prendre à tous les coups
61;[outro]
63;
