Un monde délirant;
1;[intro]
9;Dans ma tête, c'est un joyeux chaos,
11;Je m'évade, dans mes pensées, je m'y perds parfois.
13;Mais oh, quelle sensation fantastique,
15;De rire en pleine crise de panique.
17;Je trouve ça assez fascinant,
19;Tout ce qui se passe, c'est délirant.
21;Voyons le monde d'une manière différente,
23;Avec une touche de folie apparente.
25;[ … ]
29;Au petit-déjeuner, je prends mes rêves sur toast,
31;Je les déguste avec un café bien chaud.
33;Les idées farfelues fusent dans ma tête,
35;C'est ça, mon secret pour rester en fête.
37;Je trouve ça assez fascinant,
39;Tout ce qui se passe, c'est délirant.
41;Voyons le monde d'une manière différente,
43;Avec une touche de folie apparente.
45;
53;Alors, rejoignez-moi dans cette danse folle,
55;Sans se soucier du qu'en-dira-t-on, envolons-nous !
57;Car la vie est bien trop courte pour être sérieux,
59;Laissons nos fous rires résonner dans l'univers joyeux.
61;[outro]
63;
