Vivre dans le chaos;
1;[intro]
9;In my room, it's a mess, but I couldn't care less,
11;Clothes on the floor, books piled up, it’s a thrill, I confess.
13;People say I’m crazy, that I should tidy up,
15;But I’d rather have fun, let things mix and corrupt.
17;I don’t see the point in cleaning until it's a complete wreck,
19;I love living in chaos, it’s more fun when it’s a deck.
21;It might seem wild, but it's my way,
23;So let me show you that sometimes, disorder's here to stay.
25;[ … ]
29;My life is like an abstract canvas, full of colors and surprise,
31;Each day is an adventure where new harmonies arise.
33;My friends look on amazed at my quirky domain,
35;"But I say, ""It’s how I am, let me entertain!"""
37;I don’t see the point in cleaning until it's a complete wreck,
39;I love living in chaos, it’s more fun when it’s a deck.
41;It might seem wild, but it's my way,
43;So let me show you that sometimes, disorder's here to stay.
45;[solo]
53;I don’t see the point in cleaning until it's a complete wreck,
55;I love living in chaos, it’s more fun when it’s a deck.
57;It might seem wild, but it's my way,
59;So let me show you that sometimes, disorder's here to stay.
61;[outro]
63;
