Machines à dopamine;
1;[intro]
9;C'est mon ordinateur, un vrai magicien,
11;Quand il démarre, tout s'éclaire, c'est divin,
13;Je suis connecté, je voyage sans fin,
15;Dans le monde virtuel, je suis en terrain marin.
17;Toutes ces machines qui créent de la dopamine,
19;Ça me fait tourner la tête, ça me met en transe,
21;Je leur donne tout mon amour, ces petites machines,
23;Quand elles s'animent, c'est la fête qui commence.
25;[ … ]
29;Ah, mon smartphone, toujours collé à ma main,
31;Je défile mon fil d'actualités sans fin,
33;Des photos, des messages, c'est mon quotidien,
35;Je suis accro, sans lui je me sens orphelin.
37;Toutes ces machines qui créent de la dopamine,
39;Ça me fait tourner la tête, ça me met en transe,
41;Je leur donne tout mon amour, ces petites machines,
43;Quand elles s'animent, c'est la fête qui commence.
45;[ solo ]
53;Ces petites machines, c'est mon réveil en musique,
55;Elles m'accompagnent partout, magiques et ludiques,
57;Que serait ma vie sans leur dextérité technologique,
59;Vive les gadgets, c'est ma drogue sans panique.
61;[outro]
63;
