Je suis accro;
1;[intro]
9;J'allume, je respire, je sens l'ivresse
11;La cigarette enflamme mes détresses
13;Mes poumons brûlent, mais je m'en fous
15;Le tabac est mon amour fou
17;J'ai fumé mon dernier paquet en 30 minutes
19;C'est une tragédie, une histoire interdite
21;La nicotine me donne des frissons
23;Dans ma vie, la fumée a pris le contrôle
25;[ … ]
29;Je suis accro, je ne peux pas m'arrêter
31;Les clopes me dictent ma destinée
33;Mes doigts jaunis, ma bouche de cendres
35;Je suis prisonnier de cette chaîne funèbre
37;J'ai fumé mon dernier paquet en 30 minutes
39;C'est une tragédie, une histoire interdite
41;La nicotine me donne des frissons
43;Dans ma vie, la fumée a pris le contrôle
45;
53;J'ai fumé mon dernier paquet en 30 minutes
55;Mais maintenant, je choisis de mettre fin à cet enfer
57;Je vais respirer l'air frais, retrouver ma liberté
59;Adieu cigarette, je tourne la page, c'est terminé
61;[outro]
63;
