Dans les lieux publics;
1;[intro]
9;Au parc, je m'amuse sur les balançoires
11;Je fais des grimaces, je suis une vraie victoire
13;Les gens me regardent, certains pensent que je suis folle
15;Mais moi, je m'éclate, je suis une star qui décolle
17;Dans les lieux publics, je suis tout excitée
19;Je m'émerveille de tout, toujours émerveillée
21;Je flâne dans la foule, comme une enfant égarée
23;Dans les lieux publics, je suis à ma place, enchantée
25;[ … ]
29;Au supermarché, je me prends pour une diva
31;Je défile dans les allées, j'ai l'air d'une mélomane déjantée
33;La sécurité me suit, les employés sont perplexes
35;Mais moi, je m'en fiche, je suis une artiste hyperspontanée
37;Dans les lieux publics, je fais des exhibitions
39;Je danse, je chante, je suis en compétition
41;Les regards surpris, les sourires sont de saison
43;Dans les lieux publics, je mène ma révolution
45;[ solo ]
53;Dans les lieux publics, je suis moi-même en liberté
55;Je fais sourire les gens, je répands la gaieté
57;Alors rejoignez-moi, dansons tous ensemble
59;Dans les lieux publics, soyons fous et délirants, semblables
61;[outro]
63;
