Joue avec tes choix;
1;[intro]
9;You’re like a butterfly, indecisive and light,
11;Blowing with the wind, never picking a fight.
13;Always hesitant, torn between the routes,
15;Your life’s a game of hopscotch, no doubts.
17;Play with your choices, you’re the one in control,
19;Like a tightrope walker, you flirt with the role.
21;Navigating endless possibilities, no end in sight,
23;Let fate guide you through every turn and flight.
25;[ … ]
29;You’re a tightrope walker with no safety net,
31;You love to shuffle the cards with no regret.
33;In your hands, the world’s a playground,
35;But beware, time is ticking all around.
37;Play with your choices, you feel so free,
39;But watch out, the clock’s ticking on your spree.
41;Between black and white, the rainbow's unclear,
43;You might get lost in this grand atmosphere.
45;[ solo ]
53;Play with your choices, you’re the one in command,
55;Like a tightrope walker, you flirt with the land.
57;Navigating endless options, with no clear end,
59;Let fate guide you around every bend.
61;[outro]
63;
