Au bistrot du coin;
1;[intro]
9;Le patron, avec son air malin
11;Sert les verres, en faisant des grimaces coquines
13;Les clients, toujours prêts à s'amuser
15;On dirait que le bonheur vient les arroser
17;Au bistrot du coin, on fait la fête
19;De la bonne humeur, à t'en mettre en tête
21;On rigole, on danse et on chante à gogo
23;Au bistrot du coin, c'est le paradis des rigolos
25;[ … ]
29;Dans l'arrière-salle, y'a un piano désaccordé
31;Un chanteur fantasque, toujours prêt à délirer
33;Les accords bon enfant résonnent dans l'air
35;Et tout le monde se met à chanter à tue-tête
37;Au bistrot du coin, on est tous des clowns
39;Des joyeux lurons, toujours prêts à faire des tours
41;On trinque, on bavarde, on parle de tout et de rien
43;Au bistrot du coin, c'est un carnaval sans fin
45;[ solo ]
53;Au bistrot du coin, on fait la fête
55;De la bonne humeur, à t'en mettre en tête
57;On rigole, on danse et on chante à gogo
59;Au bistrot du coin, c'est le paradis des rigolos
61;[outro]
63;
