Veine polémique;
1;[intro]
9;I'm a pop singer, a little wild and free,
11;Always ready to make you laugh, that's me.
13;Critics and gossip? I don’t care at all,
15;I’d rather spread joy, that’s my call.
17;Controversy doesn’t interest me,
19;I just want to sing, that’s the key.
21;Forget the squabbles, let’s set them free,
23;Let our music shine, let it be.
25;[ … ]
29;My audience, you’re my one true delight,
31;I want to make you dance, day and night.
33;Discords and debates, such a waste,
35;I’d rather rhyme love and music with taste.
37;Controversy doesn’t interest me,
39;I just want to sing, that’s the key.
41;Forget the squabbles, let’s set them free,
43;Let our music shine, let it be.
45;[ solo ]
53;Come on, everyone, let’s raise our hands,
55;Sing non-stop, let the echoes expand.
57;Controversy has no place in our land,
59;Long live the music, long live the joy, that’s grand!
61;[outro]
63;
