Un joyeux bordel;
1;[intro]
9;Je me lève le matin, ça commence fort
11;Mes chaussettes n'ont jamais trouvé leur sort
13;Dans le frigo, les yaourts dansent la samba
15;Le bazar règne, tout le monde est là
17;Dans ma vie, c'est toujours le désordre
19;Mais ça me fait rire, ça m'égare encore
21;Je suis un joyeux bordel, un vrai trésor
23;Vive le chaos, c'est ma vie, je l'adore
25;[ … ]
29;Mes clés disparaissent, où vont-elles se cacher ?
31;Je les retrouve dans la machine à laver
33;Mes papiers s'envolent dans un tourbillon
35;Je ris de ces situations, c'est ma chanson
37;Dans ma vie, c'est toujours le désordre
39;Mais ça me fait rire, ça m'égare encore
41;Je suis un joyeux bordel, un vrai trésor
43;Vive le chaos, c'est ma vie, je l'adore
45;[ solo ]
53;Dans ma vie, c'est toujours le désordre
55;Mais ça me fait rire, ça m'égare encore
57;Je suis un joyeux bordel, un vrai trésor
59;Vive le chaos, c'est ma vie, je l'adore
61;[outro]
63;
