L'incarnation du mauvais goût;
1;[intro]
9;J'ai des pulls à paillettes, c'est ma fierté
11;Mes pantalons trop larges, ultra kitsch assumé
13;Les gens me regardent avec des yeux surpris
15;Mais moi je m'éclate, je les laisse tout surpris
17;J'ai le mauvais goût, ça me suit partout
19;Je suis l'incarnation de l'époque dégenrée
21;Du style ringard, j'en suis passionné
23;Mais je m'en moque, c'est ma personnalité
25;[ … ]
29;J'ai des chapeaux extravagants, c'est mon dada
31;Mes collants fluos, je les porte comme une diva
33;Les critiques fusent, on me dit un peu fou
35;Mais je leur souris, je m'amuse de tout
37;J'ai le mauvais goût, ça me suit partout
39;Je suis l'incarnation de l'époque dégenrée
41;Du style ringard, j'en suis passionné
43;Mais je m'en moque, c'est ma personnalité
45;[ solo ]
53;Vive le mauvais goût, soyons tous déjantés
55;Et dansons sans cesse, sans nous soucier du jugement
57;Car c'est dans la différence qu'on trouve la liberté
59;Le mauvais goût, c'est notre enchantement
61;[outro]
63;
