J'aime les disputes;
1;[intro]
9;Dans ce monde, les avis se confrontent,
11;Les gens s'écharpent et se racontent,
13;Mais moi, je reste là à m'amuser,
15;Car les débats, c'est ça mon passé.
17;On se dispute, oh oui ça fuse,
19;Mais moi je m'amuse, c'est ma muse,
21;Les gens ne supportent pas d'admettre,
23;Qu'ils pourraient être dans l'erreur peut-être.
25;[ … ]
29;Une opinion différente, et c'est la guerre,
31;Chacun pense détenir la vérité, c'est clair,
33;Mais moi je prends du recul et je ris,
35;Car l'harmonie, ça se trouve aussi dans les différences.
37;On se dispute, oh oui ça fuse,
39;Mais moi je m'amuse, c'est ma muse,
41;Les gens ne supportent pas d'admettre,
43;Qu'ils pourraient être dans l'erreur peut-être.
45;[ solo ]
53;On se dispute, oh oui ça fuse,
55;Mais moi je m'amuse, c'est ma muse,
57;Dans ce monde où tout est débat,
59;Rions ensemble, c'est ça le secret.
61;[outro]
63;
