Les idées réflexes;
1;[intro]
9;J'ai des idées, ça fuse dans ma tête
11;Des pensées folles, je ne m'arrête jamais
13;Je réfléchis à tout, même en dormant
15;Mes idées réflexes, c'est un tourbillon
17;J'ai des idées réflexes, elles fusent à tout va
19;Dans ma tête ça tourne, oh là là!
21;Des pensées farfelues, des inventions géniales
23;Les idées réflexes, c'est vraiment spécial
25;[ … ]
29;Un jour j'ai pensé à une brosse à dents magique
31;Elle fait le ménage et te cuisine des thermiques
33;Une idée réflexe, oui c'est comme ça que ça marche
35;Des trouvailles surprenantes, ça laisse maître du parc
37;J'ai des idées réflexes, elles fusent à tout va
39;Dans ma tête ça tourne, oh là là!
41;Des pensées farfelues, des inventions géniales
43;Les idées réflexes, c'est vraiment spécial
45;[ solo ]
53;Alors écoute moi, laisse-toi emporter
55;Dans le monde des idées réflexes, sans hésiter
57;La vie est trop courte pour être trop sérieux
59;Vive les idées réflexes, un vrai feu d'artifice merveilleux!
61;[outro]
63;
