Le thé qui joue des tours;
1;[intro]
9;Dans ma tasse, il fait toujours des folies,
11;Il me taquine et me donne le sourire,
13;Le thé, un breuvage rempli de fantaisie,
15;Chaque gorgée me fait frémir de plaisir!
17;Le thé, ça ne fait jamais envie,
19;Pourtant c'est bon, oh quelle ironie!
21;Un soupçon de sucre, un peu de lait,
23;Le thé, le thé qui joue des tours, ça m'déglingue!
25;[ … ]
29;Quand je bois qu'une tasse, en veut une autre,
31;Il se moque de moi et me rend accro,
33;Le thé, le trublion qui crée le désordre,
35;Dans ma vie, il est mon complice, mon héros!
37;Le thé, ça ne fait jamais envie,
39;Pourtant c'est bon, oh quelle ironie!
41;Un soupçon de sucre, un peu de lait,
43;Le thé, le thé qui joue des tours, ça m'déglingue!
45;[ solo ]
53;Le thé, ça ne fait jamais envie,
55;Mais moi je l'aime, c'est ma mélodie!
57;Un peu de zeste, une pincée de folie,
59;Le thé, le thé qui joue des tours, c'est la vie!
61;[outro]
63;
