C'est pas grave, tant qu'on s'amuse;
1;[intro]
9;This morning, I broke my cup,
11;But I laughed, no need to fuss,
13;My cat knocked over my glass,
15;But it's okay, let it pass.
17;It's a pity, but it's fine,
19;We leave worries behind,
21;Life plays tricks, but who cares!
23;As long as we have fun, we're aware.
25;[ … ]
29;I missed the train to Paris,
31;But I met a lovely spirit,
33;I wore a pink sweater instead of blue,
35;But it's okay, being joyful’s better, it's true.
37;It's a pity, but it's fine,
39;We leave worries behind,
41;Life plays tricks, but who cares!
43;As long as we have fun, we're aware.
45;[ solo ]
53;It's a pity, but it's fine,
55;We leave worries behind,
57;Life plays tricks, but who cares!
59;As long as we have fun, we're aware.
61;[outro]
63;
