Ginger Gérard;
1;[intro]
9;In a small seaside village, you’ll find,
11;The funniest character of all time,
13;His name is Gérard, the humor king,
15;And he loves his ginger brew, let me sing.
17;Ginger Gérard, the king of tenderness,
19;In his cup, there's liqueur and distress,
21;Ginger Gérard, with a heart always fair,
23;He makes the crowd sing with his sweet flair.
25;[ … ]
29;With a smile, he lights up the stage,
31;His ginger is magic, I tell you this with sage,
33;He makes the big ones laugh, he makes the small ones cheer,
35;And everyone dances to his melody, sincere.
37;Ginger Gérard, funny and sensual,
39;His ginger bewitches, his humor a call so natural,
41;Ginger Gérard, the stress antidote,
43;He makes hearts dance, with his natural glee afloat.
45;[ solo ]
53;Ginger Gérard, the star of laughter’s light,
55;The ginger liqueur turns him to delight,
57;Ginger Gérard, always ready to smile,
59;He sets the nights ablaze, with jokes that beguile.
61;[outro]
63;
