Les romans abandonnés;
1;[intro]
9;I have a problem I must confess,
11;I stack them in the closet, books I never address.
13;They stare at me with such despair,
15;Like incomplete tales that linger in the air.
17;I am the king of the unfinished,
19;Pages turn to dust, but I remain unfished.
21;I am the master of the incomplete,
23;Abandoned novels, but my life's a festive beat.
25;[ … ]
29;I start with passion, eyes so bright,
31;But soon I grow weary, can’t finish the fight.
33;Too many stories calling my name,
35;I jump from one book to another, it's my game.
37;I am the king of the unfinished,
39;Pages turn to dust, but I remain unfished.
41;I am the master of the incomplete,
43;Abandoned novels, but my life's a festive beat.
45;[ solo ]
53;I am the king of the unfinished,
55;Pages turn to dust, but I remain unfished.
57;I am the master of the incomplete,
59;Abandoned novels, but my life's a festive beat.
61;[outro]
63;
