Vive la positivité;
1;[intro]
9;I don’t have time for the haters, their insults make me laugh,
11;I’d rather keep on smiling, and let them wallow in the rough.
13;Haters may despise, but I don’t care at all,
15;I’m a magnet for good vibes, it makes me stand tall.
17;When I wake up in the morning, there’s always sunshine,
19;Negative comments fade, left behind in my mind.
21;Life is too short, we’ve got to make it shine,
23;Let’s embrace positivity, and all feel fine.
25;[ … ]
29;In my life, everything’s great, even when it's not right,
31;I always find the funny side, and it makes things light.
33;Small problems mean nothing, I give them no weight,
35;I prefer to laugh it off, that’s my best trait.
37;On social media, the negatives are high,
39;But I just ignore them, they don’t make me sigh.
41;I don’t need their critiques, they slide off like water,
43;Long live positivity, it’s my joy’s main fodder.
45;[ solo ]
53;So let’s all sing together, loud and clear,
55;Life is beautiful, let’s make it a cheer.
57;Negative comments, we’ll leave them behind,
59;Long live positivity, it’s the gift we’ll find.
61;[outro]
63;
