Parfois j'ai pas d'avis;
1;[intro]
9;Sometimes I’ve got no view, lost in my life’s hue,
11;Between yes and no, I spin around, it’s nothing new.
13;I’m like a penguin on ice, all frozen and cold,
15;But that’s okay, we’ll dance, have fun, be bold.
17;I’ve got no opinion, I’m here just to cheer,
19;Dance all night long, nothing’s gonna bring me fear.
21;I’ve got no opinion, just here for the play,
23;Let’s leave our troubles behind and enjoy the day.
25;[ … ]
29;I’ve got no view on which pizza to get,
31;Hawaiian or four cheese, I just want to be set.
33;And when it’s time to pick a movie to view,
35;Comedy, action, romance, it’s all good too.
37;I’ve got no opinion, I’m here just to cheer,
39;Dance all night long, nothing’s gonna bring me fear.
41;I’ve got no opinion, just here for the play,
43;Let’s leave our troubles behind and enjoy the day.
45;[ solo ]
53;I’ve got no opinion, I’m here just to cheer,
55;Dance all night long, nothing’s gonna bring me fear.
57;I’ve got no opinion, just here for the play,
59;Let’s leave our troubles behind and enjoy the day.
61;[outro]
63;
