La vie frivole;
1;[intro]
9;Dans ma tête, y'a tant de bêtises
11;Des idées farfelues qui me mettent en liesse
13;J'invente des jeux, des mots rigolos
15;Pour illuminer les jours un peu trop moroses
17;Je veux parler de choses futiles
19;Des petits riens qui rendent la vie facile
21;Oublions les soucis et les tracas
23;Et dansons tous sur un air de folie là!
25;[ … ]
29;J'ai le talent pour faire rire les foules
31;Mon humour, c'est comme un grand carrousel qui tourne
33;Je jongle avec les mots et les calembours
35;Pour vous faire oublier les nuages trop lourds
37;Laissez-moi parler de choses futiles
39;De l'amour enrobé de kinder surprise
41;Souriez, dansez, et oubliez les soucis
43;Dans cette vie frivole, tout est permis
45;[ solo ]
53;Je veux parler de choses futiles
55;Des petits riens qui rendent la vie facile
57;Oublions les soucis et les tracas
59;Et dansons tous sur un air de folie là!
61;[outro]
63;
