Cheap à gogo;
1;[intro]
9;Je roule en voiture d'occasion,
11;Ma tire, c'est ma passion.
13;Avec mes copains, on se marre,
15;Dans notre bolide, on déambule dans les bazarres.
17;Pas besoin d'être riche pour être heureux,
19;J'aime tout ce qui est cheap, c'est fabuleux.
21;Des fringues de seconde main, des soldes à foison,
23;Dans la vie, moi, je vois la beauté des horizons.
25;[ … ]
29;Mes vacances, c'est camping et sac à dos,
31;Le luxe, très peu pour moi.
33;J'me sens bien dans les promos,
35;Et les bonnes affaires, j'en fais mon credo.
37;J'suis cheap à gogo, ça me rend fou,
39;Dans mon monde, tout est doux comme un jouet en choux.
41;J'fais des économies et c'est la fête,
43;Et si c'est pas cher, alors je mets la galette.
45;[ solo ]
53;Pas besoin d'être riche pour être heureux,
55;J'aime tout ce qui est cheap, c'est fabuleux.
57;Des fringues de seconde main, des soldes à foison,
59;Dans la vie, moi, je vois la beauté des horizons.
61;[outro]
63;
