Hey mon ami;
1;[intro]
9;Moi, j'suis pas compliqué, je suis né pour rigoler
11;Mon p'tit grain de folie, personne peut l'ignorer
13;Je suis comme une étoile, je brille en couleur
15;Mon identité, ça s'exprime avec bonheur
17;Hey mon ami, dis-moi qui es-tu vraiment?
19;Qu'est-ce qui fait de toi un être si différent?
21;Dans cette chanson, on veut tout savoir
23;Qu'est-ce qui façonne ton identité chaque soir?
25;[ … ]
29;Je suis un fan des blagues, un amoureux des jeux de mots
31;En français ou en anglais, je suis un touche-à-tout
33;Ma voix est mon arme, pour faire sourire les gens
35;Et c'est ça, ma signature, depuis que je suis enfant
37;Hey mon ami, dis-moi qui es-tu vraiment?
39;Qu'est-ce qui fait de toi un être si différent?
41;Dans cette chanson, on veut tout savoir
43;Qu'est-ce qui façonne ton identité chaque soir?
45;[ solo ]
53;Et voilà, mon ami, on a terminé notre chanson
55;J'espère qu'elle a trouvé écho dans ton cœur, ton horizon
57;Car toi, toi seul, tu sais qui tu es vraiment
59;Continue de briller, de faire rire, d'être toi-même, éternellement.
61;[outro]
63;
