La folle aventure de ma tête;
1;[intro]
9;Dans mes pensées, ça fuse dans tous les sens
11;Des idées farfelues, j'en ai des tonnes
13;Je me balade dans mon imaginaire déjanté
15;"Et je me dis : ""Quel plaisir d'être un peu perché !"""
17;Dans ma tête, c'est un joyeux bazar
19;Un monde farfelu, c'est vraiment bizarre
21;Je m'y perds complètement, mais ça me plait
23;La folle aventure de ma tête, c'est parfait
25;[ … ]
29;Parfois, j'invente des histoires sorties d'ailleurs
31;Des licornes qui dansent sur des arcs-en-ciels en pleurs
33;Je me perds dans mes rêves complètement loufoques
35;"Et je me dis : ""La réalité, c'est bien moins rock !"""
37;Dans ma tête, c'est un véritable safari
39;Des singes dansent, les éléphants sont ravis
41;Les idées s'entrechoquent, c'est vraiment le bordel
43;Mais c'est toujours plus fun que d'être rangé dans le formel
45;[ solo ]
53;Alors rejoignez-moi dans ma folle escapade mentale
55;Où la normalité n'a pas de place, c'est génial
57;Car se perdre dans sa tête et trouver ça cool
59;C'est ça, l'univers extravagant de ma pop superfolle !
61;[outro]
63;
