Dans la vie faut s'assumer;
1;intro]
9;In fashion, you've got to dare, you've got to stand tall,
11;Even if some think you might just fall.
13;So I’ve decided to give it a go,
15;Leaving critiques and judgments in the overflow.
17;I’m unbothered, I own it, I display,
19;If you own it too, it’s no longer cliché.
21;I know people stare with widened eyes,
23;But I don’t care, yeah, I live my life with pride.
25;[ … ]
29;I’ve got strange clothes, extravagant looks,
31;Some will say it’s bad taste, a bit of a shock.
33;But I don’t mind, I stay in my zone,
35;Cause being unique is what makes me feel grown.
37;I’m unbothered, I own it, I display,
39;If you own it too, it’s no longer cliché.
41;I know people stare with widened eyes,
43;But I don’t care, yeah, I live my life with pride.
45;[ solo ]
53;You can’t please everyone, that’s for sure,
55;But I stay true and I pave my own course.
57;Cause if you own it too, it’s no longer out of taste,
59;So dare, step up, and live life with grace.
61;[outro]
63;
