Je suis bordélique;
1;[intro]
9;I'm a mess, a bit obsessed,
11;Everything’s mixed up, I'm disorganized at best.
13;Socks here, keys over there,
15;A real jumble, but that’s how I fare.
17;I’m a mess, that’s what defines me,
19;In this disorder, I find harmony.
21;Among stacks of papers and old newspapers,
23;I live my life in this joyful chaos.
25;[ … ]
29;I’m a perfectionist, that’s true too,
31;I want everything perfect, everything through.
33;Colors harmonize, shapes align,
35;Even if it’s sometimes a hard climb.
37;I’m a perfectionist, to the extreme,
39;I want everything flawless, it’s my theme.
41;In my perfect world, everything’s in place,
43;Even if it might be a bit of a chase.
45;[ solo ]
53;I’m a mess and a perfectionist, yeah,
55;A true phenomenon, a puzzle, what do I do with that?
57;But it’s my personality, what makes me unique,
59;So I embrace it and cultivate this quirky streak.
61;[outro]
63;
