Le cinéma est une fête;
1;[intro]
9;In a world of reels and film frames,
11;A cinephile within me roams the lanes.
13;Dark theaters are my playground so true,
15;Where movies roll and carry me away from the blues.
17;I'm a cinephile, it’s my deep delight,
19;Laughing and crying through each film’s might.
21;Actors and scripts cast their charm,
23;Cinema’s a never-ending party, so warm.
25;[ … ]
29;I settle in with popcorn in hand,
31;The lights go down, the screen's so grand.
33;From Chaplin’s laughter to Stallone’s thrill,
35;I live a thousand lives and crave more still.
37;I'm a cinephile, it’s my deep delight,
39;Laughing and crying through each film’s might.
41;Actors and scripts cast their charm,
43;Cinema’s a never-ending party, so warm.
45;[ solo ]
53;I'm a cinephile, it’s my deep delight,
55;Laughing and crying through each film’s might.
57;Actors and scripts cast their charm,
59;Cinema’s a never-ending party, so warm.
61;[outro]
63;
