C'est un peu facile;
1;[intro]
9;Dans la vie, y'a toujours des situations
11;Où tout semble être à notre disposition
13;Mais on réalise vite que c'est pas si simple
15;Faut se creuser un peu la tête, jouer les acrobates
17;Trouver que c'est un peu facile, facile, facile
19;C'est pas vraiment dans mes habitudes
21;Je préfère les défis, les trucs impossibles
23;Ça me met en joie, ça me booste l'attitude
25;[ … ]
29;On a tous des moments où tout nous sourit
31;On avance dans la vie sans trop galérer
33;Mais je me demande si c'est pas un peu fade
35;Où est la saveur quand tout est déjà mâché ?
37;Trouver que c'est un peu facile, facile, facile
39;Ça me donne pas vraiment satisfaction
41;J'aime bien me lancer des défis imbéciles
43;C'est ça qui me fait kiffer l'ambition
45;[ solo ]
53;Adieu le facile, facile, facile
55;Je veux des challenges, des épreuves à relever
57;Quand tout est trop simple, c'est pas très utile
59;Je préfère les moments où je suis époustouflé
61;[outro]
63;
