La fainéant attitude;
1;[intro]
9;The alarm rings, but I don't care,
11;I'd rather dream a bit longer, it's rare.
13;In my super comfy pajamas, you see,
15;Nothing's gonna move me from where I be.
17;I've got the lazy attitude, I'm a pro at rest,
19;I stay in bed all day, being a sloth is the best.
21;I don’t like effort, I love life in slow-mo,
23;The lazy attitude, that's my motto.
25;[ … ]
29;I settle down in front of the TV, remote in hand,
31;Netflix and I, it's a never-ending band.
33;I binge-watch all the episodes, no regrets,
35;On my couch, I nap and get my rest.
37;I've got the lazy attitude, a champion of slack,
39;I don’t help out, I just want to lay back.
41;I know I should move, but I just let it slide,
43;The lazy attitude, it's my secret hide.
45;[ solo ]
53;So if you too want to unwind,
55;Just let go and leave it all behind.
57;Join me in the lazy attitude, we'll be kings,
59;And we'll sing together our joyful spring.
61;[outro
63;
