Une chanson sans raison;
1;[intro]
9;In this complicated world,
11;I’ve decided to let it all unfurl.
13;No stress, no worries here,
15;I just want to sing, and that’s clear.
17;A song without a reason,
19;Just for fun, without a season,
21;No need for deep reflection,
23;That’s my song, pure affection.
25;[ … ]
29;My song makes no real sense,
31;But I don't mind, it's immense.
33;I just want to make you smile,
35;And take you away for a while.
37;No need for arguments,
39;To get the crowd to dance with intent.
41;It’s just a melody from the heart,
43;And that’s where happiness starts.
45;[ solo ]
53;A song without a reason,
55;Just for fun, without a season,
57;No need for deep reflection,
59;That’s my song, pure affection.
61;[outro]
63;
