1;[intro]
9;My days are the same,
11;An endless routine,
13;I dream of craziness,
15;Of adventures unseen.
17;I want to go wild,
19;Step off the rails,
21;In this world so bland,
23;I feel so pale.
25;[ … ]
29;I want to escape,
31;Leave my life behind,
33;Live in excess,
35;With no regrets to find.
37;I want to go wild,
39;Step off the rails,
41;In this world so bland,
43;I feel so pale.
45;[ solo ]
53;I want to go wild,
55;Step off the rails,
57;In this world so bland,
59;I feel so pale.
61;[outro]
63;
