Ce qui compte, c'est de rire;
1;[intro]
9;In my head, it's all a mess,
11;Every day, I just navigate this stress,
13;Between seriousness and absurdity,
15;It's true, it's all about context, you see?
17;It's really all about context,
19;It changes everything, it’s a complex effect,
21;You can laugh or stay perplexed,
23;For life is surprising, here's the text!
25;[ … ]
29;This morning, I wore my finest dress,
31;But on the subway, I stepped in mud, no less,
33;Everyone’s laughing, I look like a fool,
35;It’s true, it’s all about context, isn’t it cool!
37;It’s really all about context,
39;It changes everything, it’s a complex effect,
41;You can laugh or stay perplexed,
43;For life is surprising, here's the text!
45;[ solo ]
53;So, don’t take it all too seriously,
55;Laugh and have fun, it’s the key to being free,
57;Life is a grand journey, a vast comedy,
59;And in this context, let’s all be artists, you see!
61;[outro]
63;
