Mon amie fidèle;
1;[intro]
9;I’m a bird that wants to soar high,
11;A mischievous cat in a city that’s alive,
13;I need freedom just to breathe,
15;I want to dance and to leave.
17;Freedom, oh, it’s my pride,
19;I want to feel it, touch it with my hands,
21;Freedom, oh, I’m satisfied,
23;Living without limits, without any demands.
25;[ … ]
29;I’m a clown, always ready to cheer,
31;A juggler of ideas, never in fear,
33;I challenge the rules, I love to play,
35;Freedom is my creed, my knight every day.
37;Freedom, oh, it’s my pride,
39;I want to feel it, touch it with my hands,
41;Freedom, oh, I’m satisfied,
43;Living without limits, without any demands.
45;[ solo ]
53;Freedom, my faithful friend,
55;It’s the key that unlocks all wonders,
57;So I sing, I laugh, I ascend,
59;In this world where nothing else plunders.
61;[outro]
63;
