En mode tonique;
1;[intro]
9;When I enter the room, people rise,
11;My energy’s short, but it’s a surprise.
13;I leap around, I spin and twirl,
15;I’m the clown who makes the party whirl.
17;I’m here, in a tonic state,
19;Life’s a melody I celebrate.
21;They call me the king of groove,
23;I make even rooftop pigeons move.
25;[ … ]
29;I’ve got songs that make you laugh out loud,
31;Choruses that stir up the crowd.
33;My voice loops and soars through the air,
35;I’m the fireworks that make heads turn and stare.
37;I’m here, in a tonic state,
39;The stage is my magic gate.
41;People groove, smiles appear,
43;In my world where the groove is clear.
45;[ solo ]
53;I’m here, in a tonic state,
55;Life’s a melody I celebrate.
57;They call me the king of groove,
59;I make even rooftop pigeons move.
61;[outro]
63;
