1;[intro]
9;Je me glisse sur la scène, un personnage en moi,
11;Un mélange d'ego et de vérité que je déploie.
13;J'utilise mon image pour faciliter la connexion,
15;Entre mon public et moi, une véritable passion.
17;C'est le théâtre de moi, une mise en scène de vie,
19;Où je joue mon rôle avec audace et harmonie.
21;Entre l'ombre et la lumière, je trouve mon équilibre,
23;Le spectacle se déploie, le public est complice.
25;[ … ]
29;Dans chaque projet, je me mets en scène avec délice,
31;Je crée des tableaux vivants, des histoires complices.
33;Mais au-delà de l'ego, il y a le rapport unique,
35;Entre le public et moi, une connexion magique.
37;C'est le théâtre de moi, une mise en scène de vie,
39;Où je joue mon rôle avec audace et harmonie.
41;Entre l'ombre et la lumière, je trouve mon équilibre,
43;Le spectacle se déploie, le public est complice.
45;[ solo ]
53;C'est le théâtre de moi, une mise en scène de vie,
55;Où je joue mon rôle avec audace et harmonie.
57;Entre l'ombre et la lumière, je trouve mon équilibre,
59;Le spectacle se déploie, le public est complice.
61;[outro]
63;
