1;[intro]
9;Dans mes textes naïfs, je m'évade sans retenue
11;Chacun peut les interpréter, c'est une avenue
13;Mais je ne veux blesser personne, c'est mon intention
15;Pas de limites, juste une belle création
17;Dans ces chansons légères, je laisse libre cours
19;À ma créativité sans chercher le discours
21;Je veux simplement divertir, faire sourire
23;Sans volonté de nuire, juste faire plaisir
25;[ … ]
29;La naïveté de mes mots, c'est ma signature
31;Chacun peut y trouver sa propre rengaine obscure
33;Mais je ne cherche pas à offenser, je le jure
35;Ma seule intention est de répandre la pure
37;Dans ces chansons légères, je laisse libre cours
39;À ma créativité sans chercher le discours
41;Je veux simplement divertir, faire sourire
43;Sans volonté de nuire, juste faire plaisir
45;[ solo ]
53;Dans ces chansons légères, je laisse libre cours
55;À ma créativité sans chercher le discours
57;Je veux simplement divertir, faire sourire
59;Sans volonté de nuire, juste faire plaisir
61;[outro]
63;
